id,salary,salary_bracket,age,age_bracket,education,education_level,car_brand,car_brandname,region,US_region,credit_score,computer_brand,computer_brandname
1938,30878,"Below Minimum",21,"Young Adult",1,"High School",9,Hyundai,7,Mountain,94169,1,Sony
1939,42199,"Below Minimum",75,"Old Age",0,"Less than High School",18,Subaru,5,"East South Central",284304,0,Acer
1940,66091,Minimum,71,"Old Age",2,"Less than College",15,Mitsubishi,3,"West North Central",94616,0,Acer
1941,84308,Middle,61,"Old Age",1,"High School",5,Chrysler,8,Pacific,399266,0,Acer
1942,74788,Minimum,20,"Young Adult",4,Postgraduate,4,Chevrolet,6,"West South Central",399466,0,Acer
1943,48847,"Below Minimum",64,"Old Age",3,College,12,Lincoln,3,"West North Central",500000,0,Acer
1944,35558,"Below Minimum",41,"Middle Age",3,College,15,Mitsubishi,1,Mid-Atlantic,0,1,Sony
1945,143511,High,60,"Old Age",3,College,2,Buick,6,"West South Central",338060,1,Sony
1946,124234,High,61,"Old Age",3,College,2,Buick,5,"East South Central",108144,1,Sony
1947,70287,Minimum,64,"Old Age",1,"High School",19,Toyota,6,"West South Central",230617,0,Acer
1948,28263,"Below Minimum",28,"Young Adult",2,"Less than College",4,Chevrolet,6,"West South Central",412486,1,Sony
1949,88801,Middle,27,"Young Adult",4,Postgraduate,1,BMW,8,Pacific,72345,0,Acer
1950,24702,"Below Minimum",35,"Middle Age",2,"Less than College",3,Cadillac,8,Pacific,255760,1,Sony
1951,25607,"Below Minimum",68,"Old Age",0,"Less than High School",12,Lincoln,5,"East South Central",268103,1,Sony
1952,126753,High,76,"Old Age",0,"Less than High School",1,BMW,3,"West North Central",431440,1,Sony
1953,140635,High,31,"Middle Age",3,College,18,Subaru,7,Mountain,423445,1,Sony
1954,110639,High,25,"Young Adult",0,"Less than High School",1,BMW,8,Pacific,0,1,Sony
1955,113992,High,31,"Middle Age",0,"Less than High School",1,BMW,6,"West South Central",487714,1,Sony
1956,55393,"Below Minimum",72,"Old Age",2,"Less than College",18,Subaru,5,"East South Central",113243,0,Acer
1957,115535,High,53,"Old Age",0,"Less than High School",9,Hyundai,0,"New England",19582,0,Acer
1958,123093,High,36,"Middle Age",3,College,17,Ram,2,"East North Central",278917,1,Sony
1959,120275,High,22,"Young Adult",4,Postgraduate,13,Mazda,2,"East North Central",497482,1,Sony
1960,68616,Minimum,71,"Old Age",3,College,18,Subaru,4,"South Atlantic",53638,0,Acer
1961,98007,Middle,39,"Middle Age",3,College,9,Hyundai,2,"East North Central",78685,1,Sony
1962,46993,"Below Minimum",77,"Old Age",3,College,1,BMW,5,"East South Central",266987,0,Acer
1963,104735,High,21,"Young Adult",0,"Less than High School",10,Jeep,7,Mountain,348695,1,Sony
1964,59424,"Below Minimum",69,"Old Age",2,"Less than College",17,Ram,8,Pacific,2154,0,Acer
1965,33333,"Below Minimum",22,"Young Adult",0,"Less than High School",19,Toyota,7,Mountain,280648,1,Sony
1966,31143,"Below Minimum",31,"Middle Age",4,Postgraduate,13,Mazda,8,Pacific,120558,1,Sony
1967,94846,Middle,53,"Old Age",0,"Less than High School",6,Dodge,3,"West North Central",57176,0,Acer
1968,63093,"Below Minimum",46,"Old Age",2,"Less than College",9,Hyundai,0,"New England",66661,1,Sony
1969,80054,Middle,49,"Old Age",0,"Less than High School",12,Lincoln,3,"West North Central",432381,0,Acer
1970,37528,"Below Minimum",44,"Middle Age",2,"Less than College",18,Subaru,4,"South Atlantic",307367,1,Sony
1971,140415,High,26,"Young Adult",2,"Less than College",4,Chevrolet,8,Pacific,345778,1,Sony
1972,36907,"Below Minimum",47,"Old Age",2,"Less than College",16,Nissan,8,Pacific,500000,1,Sony
1973,75892,Minimum,77,"Old Age",4,Postgraduate,18,Subaru,0,"New England",147651,1,Sony
1974,97840,Middle,52,"Old Age",3,College,14,"Mercedes Benz",0,"New England",124484,0,Acer
1975,132895,High,69,"Old Age",1,"High School",2,Buick,5,"East South Central",133229,1,Sony
1976,76597,Minimum,44,"Middle Age",4,Postgraduate,10,Jeep,5,"East South Central",454932,1,Sony
1977,83222,Middle,32,"Middle Age",2,"Less than College",2,Buick,1,Mid-Atlantic,324224,0,Acer
1978,148689,High,23,"Young Adult",3,College,17,Ram,1,Mid-Atlantic,24765,1,Sony
1979,82400,Middle,31,"Middle Age",0,"Less than High School",17,Ram,4,"South Atlantic",390566,0,Acer
1980,129158,High,54,"Old Age",2,"Less than College",5,Chrysler,5,"East South Central",472288,1,Sony
1981,103802,High,74,"Old Age",3,College,19,Toyota,5,"East South Central",448472,1,Sony
1982,86724,Middle,59,"Old Age",2,"Less than College",17,Ram,7,Mountain,139401,1,Sony
1983,142907,High,28,"Young Adult",4,Postgraduate,14,"Mercedes Benz",6,"West South Central",146288,1,Sony
1984,33999,"Below Minimum",69,"Old Age",1,"High School",11,Kia,1,Mid-Atlantic,270420,0,Acer
1985,51291,"Below Minimum",34,"Middle Age",1,"High School",20,Others,2,"East North Central",75536,0,Acer
1986,143413,High,75,"Old Age",1,"High School",6,Dodge,6,"West South Central",464491,1,Sony
1987,28506,"Below Minimum",58,"Old Age",1,"High School",7,Ford,2,"East North Central",183845,1,Sony
1988,131047,High,65,"Old Age",0,"Less than High School",2,Buick,4,"South Atlantic",37885,1,Sony
1989,61904,"Below Minimum",53,"Old Age",1,"High School",14,"Mercedes Benz",2,"East North Central",110275,1,Sony
1990,85128,Middle,26,"Young Adult",0,"Less than High School",2,Buick,1,Mid-Atlantic,97200,0,Acer
1991,142501,High,54,"Old Age",0,"Less than High School",6,Dodge,5,"East South Central",445403,1,Sony
1992,98812,Middle,36,"Middle Age",0,"Less than High School",12,Lincoln,4,"South Atlantic",67544,0,Acer
1993,128183,High,35,"Middle Age",0,"Less than High School",18,Subaru,7,Mountain,154450,1,Sony
1994,143533,High,61,"Old Age",0,"Less than High School",18,Subaru,5,"East South Central",122350,1,Sony
1995,64149,Minimum,74,"Old Age",2,"Less than College",17,Ram,3,"West North Central",426088,0,Acer
1996,66265,Minimum,71,"Old Age",4,Postgraduate,12,Lincoln,6,"West South Central",6176,0,Acer
1997,76450,Minimum,36,"Middle Age",0,"Less than High School",1,BMW,3,"West North Central",78604,0,Acer
1998,150000,High,52,"Old Age",4,Postgraduate,7,Ford,6,"West South Central",467412,1,Sony
1999,70774,Minimum,76,"Old Age",2,"Less than College",12,Lincoln,3,"West North Central",378505,0,Acer
2000,102231,High,33,"Middle Age",1,"High School",6,Dodge,5,"East South Central",62828,1,Sony
2001,46801,"Below Minimum",33,"Middle Age",4,Postgraduate,4,Chevrolet,4,"South Atlantic",500000,1,Sony
2002,41689,"Below Minimum",35,"Middle Age",3,College,1,BMW,7,Mountain,214941,1,Sony
2003,140305,High,66,"Old Age",4,Postgraduate,2,Buick,4,"South Atlantic",157637,1,Sony
2004,107522,High,78,"Old Age",4,Postgraduate,8,Honda,6,"West South Central",445359,1,Sony
2005,46867,"Below Minimum",23,"Young Adult",4,Postgraduate,14,"Mercedes Benz",0,"New England",100797,1,Sony
2006,84844,Middle,28,"Young Adult",3,College,15,Mitsubishi,6,"West South Central",69928,0,Acer
2007,76454,Minimum,53,"Old Age",0,"Less than High School",2,Buick,8,Pacific,26112,0,Acer
2008,96277,Middle,36,"Middle Age",0,"Less than High School",5,Chrysler,8,Pacific,399381,0,Acer
2009,100030,High,41,"Middle Age",0,"Less than High School",15,Mitsubishi,1,Mid-Atlantic,0,0,Acer
2010,129515,High,44,"Middle Age",1,"High School",18,Subaru,1,Mid-Atlantic,38615,1,Sony
2011,111274,High,32,"Middle Age",2,"Less than College",20,Others,5,"East South Central",164724,1,Sony
2012,57136,"Below Minimum",65,"Old Age",2,"Less than College",9,Hyundai,6,"West South Central",353689,0,Acer
2013,51824,"Below Minimum",79,"Old Age",0,"Less than High School",3,Cadillac,6,"West South Central",376166,0,Acer
2014,103860,High,43,"Middle Age",1,"High School",4,Chevrolet,5,"East South Central",325736,0,Acer
2015,116581,High,62,"Old Age",4,Postgraduate,18,Subaru,4,"South Atlantic",169090,0,Acer
2016,137547,High,40,"Middle Age",3,College,10,Jeep,2,"East North Central",192412,1,Sony
2017,39046,"Below Minimum",62,"Old Age",0,"Less than High School",7,Ford,1,Mid-Atlantic,486777,0,Acer
2018,140317,High,49,"Old Age",0,"Less than High School",15,Mitsubishi,0,"New England",437361,1,Sony
2019,60095,"Below Minimum",59,"Old Age",1,"High School",7,Ford,3,"West North Central",251205,0,Acer
2020,25328,"Below Minimum",29,"Young Adult",0,"Less than High School",4,Chevrolet,0,"New England",375665,1,Sony
2021,142797,High,69,"Old Age",4,Postgraduate,4,Chevrolet,0,"New England",351583,1,Sony
2022,103830,High,59,"Old Age",1,"High School",4,Chevrolet,0,"New England",434101,0,Acer
2023,64918,Minimum,61,"Old Age",1,"High School",16,Nissan,0,"New England",18474,1,Sony
2024,93790,Middle,56,"Old Age",2,"Less than College",8,Honda,5,"East South Central",188204,0,Acer
2025,73093,Minimum,26,"Young Adult",2,"Less than College",17,Ram,1,Mid-Atlantic,250164,0,Acer
2026,28115,"Below Minimum",57,"Old Age",3,College,19,Toyota,4,"South Atlantic",218576,1,Sony
2027,44339,"Below Minimum",35,"Middle Age",2,"Less than College",3,Cadillac,3,"West North Central",168587,1,Sony
2028,132305,High,62,"Old Age",2,"Less than College",10,Jeep,8,Pacific,256925,1,Sony
2029,129867,High,31,"Middle Age",1,"High School",9,Hyundai,3,"West North Central",291704,1,Sony
2030,81203,Middle,60,"Old Age",2,"Less than College",4,Chevrolet,3,"West North Central",99555,0,Acer
2031,65123,Minimum,22,"Young Adult",0,"Less than High School",11,Kia,5,"East South Central",81485,0,Acer
2032,133265,High,40,"Middle Age",3,College,15,Mitsubishi,7,Mountain,445570,1,Sony
2033,56225,"Below Minimum",51,"Old Age",0,"Less than High School",7,Ford,8,Pacific,30127,1,Sony
2034,62713,"Below Minimum",59,"Old Age",0,"Less than High School",14,"Mercedes Benz",4,"South Atlantic",407277,1,Sony
2035,24124,"Below Minimum",41,"Middle Age",1,"High School",1,BMW,2,"East North Central",144245,1,Sony
2036,125757,High,65,"Old Age",4,Postgraduate,12,Lincoln,4,"South Atlantic",327085,1,Sony
2037,90235,Middle,40,"Middle Age",2,"Less than College",1,BMW,6,"West South Central",100177,0,Acer
2038,107016,High,54,"Old Age",3,College,8,Honda,8,Pacific,295237,0,Acer
2039,126060,High,65,"Old Age",1,"High School",3,Cadillac,0,"New England",289166,1,Sony
2040,130480,High,40,"Middle Age",3,College,20,Others,6,"West South Central",261076,1,Sony
2041,93571,Middle,26,"Young Adult",2,"Less than College",13,Mazda,5,"East South Central",144497,0,Acer
2042,109638,High,21,"Young Adult",3,College,8,Honda,0,"New England",392030,1,Sony
2043,114157,High,24,"Young Adult",1,"High School",10,Jeep,4,"South Atlantic",189964,1,Sony
2044,40208,"Below Minimum",76,"Old Age",0,"Less than High School",7,Ford,8,Pacific,446948,0,Acer
2045,117067,High,33,"Middle Age",2,"Less than College",5,Chrysler,1,Mid-Atlantic,495344,1,Sony
2046,28132,"Below Minimum",27,"Young Adult",4,Postgraduate,8,Honda,8,Pacific,322086,1,Sony
2047,144053,High,21,"Young Adult",4,Postgraduate,7,Ford,0,"New England",105242,1,Sony
2048,150000,High,54,"Old Age",0,"Less than High School",2,Buick,5,"East South Central",476339,1,Sony
2049,150000,High,75,"Old Age",3,College,20,Others,6,"West South Central",30518,1,Sony
2050,118994,High,63,"Old Age",2,"Less than College",4,Chevrolet,4,"South Atlantic",78258,1,Sony
2051,122650,High,72,"Old Age",2,"Less than College",5,Chrysler,3,"West North Central",226746,1,Sony
2052,21332,"Below Minimum",68,"Old Age",0,"Less than High School",5,Chrysler,3,"West North Central",376331,1,Sony
2053,110323,High,30,"Middle Age",1,"High School",7,Ford,3,"West North Central",72812,1,Sony
2054,149919,High,54,"Old Age",2,"Less than College",14,"Mercedes Benz",5,"East South Central",499137,1,Sony
2055,106004,High,75,"Old Age",3,College,1,BMW,8,Pacific,54135,1,Sony
2056,78203,Minimum,49,"Old Age",4,Postgraduate,16,Nissan,2,"East North Central",106357,0,Acer
2057,142664,High,31,"Middle Age",2,"Less than College",17,Ram,0,"New England",253434,1,Sony
2058,135946,High,45,"Middle Age",4,Postgraduate,12,Lincoln,1,Mid-Atlantic,177885,1,Sony
2059,83447,Middle,58,"Old Age",2,"Less than College",13,Mazda,2,"East North Central",448118,0,Acer
2060,67852,Minimum,23,"Young Adult",2,"Less than College",3,Cadillac,0,"New England",365608,0,Acer
2061,42169,"Below Minimum",68,"Old Age",0,"Less than High School",6,Dodge,7,Mountain,292371,0,Acer
2062,77804,Minimum,59,"Old Age",3,College,14,"Mercedes Benz",1,Mid-Atlantic,95354,0,Acer
2063,94607,Middle,79,"Old Age",0,"Less than High School",15,Mitsubishi,6,"West South Central",256434,1,Sony
2064,30133,"Below Minimum",68,"Old Age",0,"Less than High School",15,Mitsubishi,3,"West North Central",42461,0,Acer
2065,125654,High,41,"Middle Age",1,"High School",9,Hyundai,8,Pacific,84198,1,Sony
2066,33977,"Below Minimum",64,"Old Age",1,"High School",18,Subaru,0,"New England",31934,0,Acer
2067,75204,Minimum,60,"Old Age",1,"High School",15,Mitsubishi,5,"East South Central",453884,0,Acer
2068,42690,"Below Minimum",60,"Old Age",0,"Less than High School",17,Ram,1,Mid-Atlantic,360911,1,Sony
2069,115146,High,39,"Middle Age",0,"Less than High School",19,Toyota,1,Mid-Atlantic,266586,1,Sony
2070,44229,"Below Minimum",57,"Old Age",4,Postgraduate,5,Chrysler,0,"New England",354397,1,Sony
2071,77687,Minimum,22,"Young Adult",2,"Less than College",1,BMW,3,"West North Central",319199,0,Acer
2072,78458,Minimum,70,"Old Age",3,College,17,Ram,8,Pacific,292769,0,Acer
2073,75450,Minimum,51,"Old Age",4,Postgraduate,12,Lincoln,8,Pacific,413850,1,Sony
2074,122357,High,65,"Old Age",1,"High School",15,Mitsubishi,0,"New England",118631,1,Sony
2075,150000,High,66,"Old Age",3,College,1,BMW,5,"East South Central",10290,1,Sony
2076,130245,High,24,"Young Adult",1,"High School",2,Buick,2,"East North Central",490904,1,Sony
2077,77422,Minimum,52,"Old Age",2,"Less than College",3,Cadillac,8,Pacific,158044,0,Acer
2078,92816,Middle,62,"Old Age",3,College,14,"Mercedes Benz",2,"East North Central",260691,1,Sony
2079,86680,Middle,56,"Old Age",1,"High School",11,Kia,2,"East North Central",437516,0,Acer
2080,127543,High,72,"Old Age",0,"Less than High School",13,Mazda,2,"East North Central",472619,1,Sony
2081,104757,High,71,"Old Age",1,"High School",19,Toyota,4,"South Atlantic",488888,1,Sony
2082,39318,"Below Minimum",72,"Old Age",0,"Less than High School",19,Toyota,8,Pacific,84442,0,Acer
2083,114546,High,53,"Old Age",1,"High School",12,Lincoln,4,"South Atlantic",386329,0,Acer
2084,20000,"Below Minimum",73,"Old Age",3,College,6,Dodge,7,Mountain,311258,1,Sony
2085,106167,High,74,"Old Age",4,Postgraduate,15,Mitsubishi,4,"South Atlantic",116217,1,Sony
2086,92986,Middle,38,"Middle Age",0,"Less than High School",16,Nissan,3,"West North Central",279782,0,Acer
2087,134393,High,56,"Old Age",0,"Less than High School",9,Hyundai,8,Pacific,59633,1,Sony
2088,87139,Middle,36,"Middle Age",3,College,6,Dodge,0,"New England",332876,0,Acer
2089,26651,"Below Minimum",66,"Old Age",3,College,19,Toyota,3,"West North Central",326135,0,Acer
2090,26700,"Below Minimum",52,"Old Age",4,Postgraduate,8,Honda,5,"East South Central",228250,1,Sony
2091,72958,Minimum,31,"Middle Age",3,College,14,"Mercedes Benz",7,Mountain,75086,0,Acer
2092,126464,High,31,"Middle Age",2,"Less than College",20,Others,2,"East North Central",409542,1,Sony
2093,40822,"Below Minimum",77,"Old Age",2,"Less than College",19,Toyota,1,Mid-Atlantic,238025,0,Acer
2094,61238,"Below Minimum",50,"Old Age",4,Postgraduate,5,Chrysler,1,Mid-Atlantic,247345,1,Sony
2095,122907,High,50,"Old Age",2,"Less than College",9,Hyundai,2,"East North Central",64006,0,Acer
2096,65865,Minimum,25,"Young Adult",0,"Less than High School",15,Mitsubishi,8,Pacific,288711,0,Acer
2097,49530,"Below Minimum",28,"Young Adult",1,"High School",7,Ford,8,Pacific,469807,1,Sony
2098,30769,"Below Minimum",46,"Old Age",4,Postgraduate,3,Cadillac,8,Pacific,460177,1,Sony
2099,34957,"Below Minimum",31,"Middle Age",3,College,13,Mazda,2,"East North Central",83687,1,Sony
2100,46790,"Below Minimum",47,"Old Age",0,"Less than High School",15,Mitsubishi,4,"South Atlantic",460084,1,Sony
2101,83946,Middle,26,"Young Adult",4,Postgraduate,9,Hyundai,4,"South Atlantic",232989,0,Acer
2102,101725,High,20,"Young Adult",4,Postgraduate,12,Lincoln,6,"West South Central",317527,0,Acer
2103,145391,High,61,"Old Age",3,College,4,Chevrolet,7,Mountain,374399,1,Sony
2104,124597,High,50,"Old Age",3,College,17,Ram,7,Mountain,27909,0,Acer
2105,116806,High,63,"Old Age",4,Postgraduate,3,Cadillac,2,"East North Central",244280,1,Sony
2106,74075,Minimum,45,"Middle Age",3,College,18,Subaru,1,Mid-Atlantic,388399,1,Sony
2107,123729,High,48,"Old Age",3,College,4,Chevrolet,5,"East South Central",34589,0,Acer
2108,109767,High,67,"Old Age",4,Postgraduate,7,Ford,3,"West North Central",454012,1,Sony
2109,103367,High,74,"Old Age",4,Postgraduate,20,Others,5,"East South Central",3255,1,Sony
2110,105239,High,72,"Old Age",0,"Less than High School",17,Ram,7,Mountain,397363,1,Sony
2111,146313,High,64,"Old Age",3,College,1,BMW,1,Mid-Atlantic,62417,1,Sony
2112,58651,"Below Minimum",71,"Old Age",4,Postgraduate,15,Mitsubishi,1,Mid-Atlantic,73398,0,Acer
2113,54896,"Below Minimum",31,"Middle Age",4,Postgraduate,17,Ram,2,"East North Central",302628,0,Acer
2114,76299,Minimum,60,"Old Age",2,"Less than College",11,Kia,7,Mountain,243347,1,Sony
2115,20484,"Below Minimum",73,"Old Age",3,College,6,Dodge,7,Mountain,348429,0,Acer
2116,118862,High,70,"Old Age",1,"High School",1,BMW,6,"West South Central",215659,1,Sony
2117,114611,High,39,"Middle Age",2,"Less than College",12,Lincoln,1,Mid-Atlantic,450366,1,Sony
2118,49257,"Below Minimum",80,"Old Age",4,Postgraduate,15,Mitsubishi,4,"South Atlantic",171857,0,Acer
2119,150000,High,42,"Middle Age",0,"Less than High School",15,Mitsubishi,3,"West North Central",0,1,Sony
2120,118978,High,43,"Middle Age",2,"Less than College",5,Chrysler,6,"West South Central",218725,0,Acer
2121,79157,Minimum,39,"Middle Age",4,Postgraduate,12,Lincoln,7,Mountain,106830,0,Acer
2122,20000,"Below Minimum",40,"Middle Age",3,College,15,Mitsubishi,3,"West North Central",253578,1,Sony
2123,34095,"Below Minimum",21,"Young Adult",1,"High School",3,Cadillac,8,Pacific,425666,1,Sony
2124,126363,High,39,"Middle Age",2,"Less than College",2,Buick,0,"New England",424919,0,Acer
2125,86831,Middle,75,"Old Age",3,College,1,BMW,8,Pacific,338658,1,Sony
2126,137429,High,55,"Old Age",0,"Less than High School",17,Ram,4,"South Atlantic",500000,1,Sony
2127,36970,"Below Minimum",62,"Old Age",2,"Less than College",6,Dodge,6,"West South Central",259709,0,Acer
2128,43842,"Below Minimum",50,"Old Age",1,"High School",18,Subaru,1,Mid-Atlantic,85253,1,Sony
2129,111095,High,23,"Young Adult",4,Postgraduate,13,Mazda,8,Pacific,445950,1,Sony
2130,23575,"Below Minimum",53,"Old Age",2,"Less than College",19,Toyota,6,"West South Central",449826,1,Sony
2131,141753,High,47,"Old Age",0,"Less than High School",3,Cadillac,3,"West North Central",130873,1,Sony
2132,67877,Minimum,80,"Old Age",4,Postgraduate,15,Mitsubishi,7,Mountain,137390,0,Acer
2133,84261,Middle,42,"Middle Age",0,"Less than High School",8,Honda,0,"New England",380466,0,Acer
2134,23207,"Below Minimum",26,"Young Adult",4,Postgraduate,13,Mazda,3,"West North Central",210940,1,Sony
2135,75869,Minimum,62,"Old Age",0,"Less than High School",1,BMW,7,Mountain,386009,0,Acer
2136,20106,"Below Minimum",20,"Young Adult",2,"Less than College",10,Jeep,8,Pacific,500000,1,Sony
2137,37425,"Below Minimum",27,"Young Adult",2,"Less than College",2,Buick,0,"New England",48774,1,Sony
2138,72730,Minimum,32,"Middle Age",2,"Less than College",15,Mitsubishi,2,"East North Central",321205,0,Acer
2139,82382,Middle,38,"Middle Age",4,Postgraduate,16,Nissan,3,"West North Central",351733,0,Acer
2140,41827,"Below Minimum",38,"Middle Age",4,Postgraduate,17,Ram,8,Pacific,121248,1,Sony
2141,58151,"Below Minimum",21,"Young Adult",0,"Less than High School",18,Subaru,2,"East North Central",364825,0,Acer
2142,36227,"Below Minimum",49,"Old Age",2,"Less than College",1,BMW,4,"South Atlantic",123699,1,Sony
2143,83751,Middle,59,"Old Age",0,"Less than High School",2,Buick,3,"West North Central",376355,0,Acer
2144,111283,High,26,"Young Adult",0,"Less than High School",19,Toyota,3,"West North Central",329603,1,Sony
2145,129078,High,27,"Young Adult",4,Postgraduate,9,Hyundai,8,Pacific,47267,1,Sony
2146,48122,"Below Minimum",43,"Middle Age",2,"Less than College",19,Toyota,4,"South Atlantic",415032,1,Sony
2147,128414,High,44,"Middle Age",2,"Less than College",14,"Mercedes Benz",2,"East North Central",264103,1,Sony
2148,140608,High,67,"Old Age",2,"Less than College",14,"Mercedes Benz",8,Pacific,331470,1,Sony
2149,83566,Middle,72,"Old Age",3,College,19,Toyota,3,"West North Central",212856,1,Sony
2150,124231,High,25,"Young Adult",3,College,3,Cadillac,1,Mid-Atlantic,36054,1,Sony
2151,102952,High,59,"Old Age",0,"Less than High School",8,Honda,4,"South Atlantic",16505,0,Acer
2152,63457,"Below Minimum",25,"Young Adult",1,"High School",13,Mazda,8,Pacific,411487,0,Acer
2153,90670,Middle,52,"Old Age",2,"Less than College",15,Mitsubishi,2,"East North Central",400340,0,Acer
2154,119124,High,55,"Old Age",3,College,18,Subaru,1,Mid-Atlantic,199698,0,Acer
2155,72544,Minimum,52,"Old Age",2,"Less than College",10,Jeep,1,Mid-Atlantic,331795,0,Acer
2156,55773,"Below Minimum",50,"Old Age",3,College,5,Chrysler,3,"West North Central",256773,1,Sony
2157,83702,Middle,57,"Old Age",2,"Less than College",15,Mitsubishi,5,"East South Central",110621,0,Acer
2158,119984,High,42,"Middle Age",1,"High School",1,BMW,4,"South Atlantic",84331,0,Acer
2159,109162,High,22,"Young Adult",1,"High School",13,Mazda,2,"East North Central",412055,1,Sony
2160,138882,High,45,"Middle Age",3,College,5,Chrysler,3,"West North Central",357786,1,Sony
2161,110267,High,47,"Old Age",0,"Less than High School",13,Mazda,6,"West South Central",153273,0,Acer
2162,23708,"Below Minimum",45,"Middle Age",1,"High School",2,Buick,1,Mid-Atlantic,266488,1,Sony
2163,35784,"Below Minimum",61,"Old Age",4,Postgraduate,13,Mazda,5,"East South Central",319390,0,Acer
2164,24179,"Below Minimum",25,"Young Adult",4,Postgraduate,14,"Mercedes Benz",4,"South Atlantic",303002,1,Sony
2165,26630,"Below Minimum",73,"Old Age",2,"Less than College",10,Jeep,8,Pacific,276391,1,Sony
2166,43804,"Below Minimum",26,"Young Adult",1,"High School",10,Jeep,7,Mountain,344188,1,Sony
2167,60384,"Below Minimum",43,"Middle Age",1,"High School",9,Hyundai,5,"East South Central",235295,1,Sony
2168,20000,"Below Minimum",78,"Old Age",1,"High School",14,"Mercedes Benz",0,"New England",388387,1,Sony
2169,66381,Minimum,75,"Old Age",0,"Less than High School",20,Others,2,"East North Central",16870,0,Acer
2170,69574,Minimum,35,"Middle Age",1,"High School",20,Others,4,"South Atlantic",134071,0,Acer
2171,84857,Middle,61,"Old Age",1,"High School",2,Buick,5,"East South Central",325607,1,Sony
2172,107621,High,35,"Middle Age",2,"Less than College",16,Nissan,7,Mountain,57078,1,Sony
2173,150000,High,69,"Old Age",2,"Less than College",1,BMW,1,Mid-Atlantic,219469,1,Sony
2174,54962,"Below Minimum",35,"Middle Age",1,"High School",6,Dodge,4,"South Atlantic",360186,0,Acer
2175,72484,Minimum,28,"Young Adult",3,College,20,Others,5,"East South Central",483756,0,Acer
2176,133387,High,34,"Middle Age",0,"Less than High School",11,Kia,4,"South Atlantic",26557,1,Sony
2177,120281,High,48,"Old Age",4,Postgraduate,5,Chrysler,6,"West South Central",491560,0,Acer
2178,80289,Middle,41,"Middle Age",1,"High School",7,Ford,0,"New England",99921,0,Acer
2179,71871,Minimum,61,"Old Age",4,Postgraduate,14,"Mercedes Benz",3,"West North Central",305772,0,Acer
2180,134524,High,29,"Young Adult",3,College,7,Ford,3,"West North Central",78144,1,Sony
2181,21537,"Below Minimum",47,"Old Age",0,"Less than High School",17,Ram,1,Mid-Atlantic,255610,1,Sony
2182,32633,"Below Minimum",68,"Old Age",0,"Less than High School",10,Jeep,4,"South Atlantic",384827,0,Acer
2183,72494,Minimum,34,"Middle Age",3,College,10,Jeep,2,"East North Central",400107,0,Acer
2184,47540,"Below Minimum",31,"Middle Age",4,Postgraduate,18,Subaru,5,"East South Central",181253,1,Sony
2185,20691,"Below Minimum",20,"Young Adult",1,"High School",4,Chevrolet,0,"New England",436894,1,Sony
2186,106021,High,37,"Middle Age",2,"Less than College",2,Buick,2,"East North Central",109955,1,Sony
2187,44875,"Below Minimum",40,"Middle Age",4,Postgraduate,5,Chrysler,8,Pacific,64996,1,Sony
2188,119030,High,60,"Old Age",1,"High School",6,Dodge,6,"West South Central",61679,0,Acer
2189,98160,Middle,27,"Young Adult",0,"Less than High School",2,Buick,7,Mountain,190150,0,Acer
2190,49318,"Below Minimum",69,"Old Age",1,"High School",3,Cadillac,6,"West South Central",320511,0,Acer
2191,92998,Middle,58,"Old Age",1,"High School",8,Honda,0,"New England",398889,0,Acer
2192,138986,High,22,"Young Adult",2,"Less than College",7,Ford,7,Mountain,4319,1,Sony
2193,130777,High,42,"Middle Age",4,Postgraduate,17,Ram,8,Pacific,39423,1,Sony
2194,99072,Middle,29,"Young Adult",1,"High School",18,Subaru,3,"West North Central",206710,1,Sony
2195,125069,High,67,"Old Age",3,College,7,Ford,4,"South Atlantic",278473,1,Sony
2196,65136,Minimum,41,"Middle Age",0,"Less than High School",17,Ram,3,"West North Central",188034,0,Acer
2197,63738,"Below Minimum",48,"Old Age",3,College,9,Hyundai,4,"South Atlantic",119845,1,Sony
2198,47045,"Below Minimum",60,"Old Age",0,"Less than High School",7,Ford,2,"East North Central",352664,1,Sony
2199,43605,"Below Minimum",48,"Old Age",3,College,19,Toyota,8,Pacific,153808,1,Sony
2200,124814,High,62,"Old Age",4,Postgraduate,17,Ram,4,"South Atlantic",367327,1,Sony
2201,39477,"Below Minimum",53,"Old Age",3,College,4,Chevrolet,8,Pacific,141411,1,Sony
2202,90458,Middle,69,"Old Age",0,"Less than High School",4,Chevrolet,6,"West South Central",345052,1,Sony
2203,56219,"Below Minimum",80,"Old Age",0,"Less than High School",11,Kia,6,"West South Central",418537,0,Acer
2204,75152,Minimum,69,"Old Age",2,"Less than College",5,Chrysler,5,"East South Central",410339,1,Sony
2205,110796,High,54,"Old Age",1,"High School",13,Mazda,0,"New England",155375,0,Acer
2206,79647,Minimum,61,"Old Age",1,"High School",5,Chrysler,2,"East North Central",500000,1,Sony
2207,105454,High,43,"Middle Age",2,"Less than College",14,"Mercedes Benz",4,"South Atlantic",43090,0,Acer
2208,37807,"Below Minimum",42,"Middle Age",1,"High School",6,Dodge,2,"East North Central",170590,1,Sony
2209,127701,High,64,"Old Age",4,Postgraduate,5,Chrysler,0,"New England",18739,1,Sony
2210,108323,High,30,"Middle Age",1,"High School",15,Mitsubishi,7,Mountain,131222,1,Sony
